Participant,"Ratification, Acceptance(A)"
Afghanistan,5 Jan 2005
Australia,7 Sep 2005
Bhutan,14 Jul 2004
Brunei Darussalam,26 Nov 2003 A
China,27 Feb 2006 A
Democratic People's Republic of Korea,14 Jul 2003
Fiji,31 Jul 2007
Indonesia,30 Dec 2004
Iran (Islamic Republic of),21 Jul 2006 A
Lao People's Democratic Republic,2 Oct 2003 A
Malaysia,28 Apr 2003
Maldives,19 Apr 2007 A
Marshall Islands,16 Jan 2007 A
Micronesia (Federated States of),3 Jul 2007 A
Myanmar,10 Sep 2003
Pakistan,18 Jun 2007
Palau,13 Feb 2007 A
Republic of Korea,23 Sep 2003 A
Samoa,27 Feb 2003
Singapore,7 Mar 2005
Sri Lanka,27 Aug 2003
Thailand,31 Jan 2005
Tonga,17 Jul 2003
Viet Nam,19 Sep 2003 A
