Participant,"Succession(d), Consent to be bound(P)"
Albania,12 May 2006 P
Argentina,7 Oct 2011 P
Australia,4 Jan 2007 P
Austria,1 Oct 2007 P
Belarus,29 Sep 2008 P
Belgium,25 Jan 2010 P
Bosnia and Herzegovina,28 Nov 2007 P
Brazil,30 Nov 2010 P
Bulgaria,7 Nov 2005 P
Burundi,13 Jul 2012 P
Cameroon,7 Dec 2010 P
Canada,19 May 2009 P
Chile,18 Aug 2009 P
China,10 Jun 2010 P
Costa Rica,27 Apr 2009 P
Croatia,7 Feb 2005 P
Cuba,14 Nov 2012 P
Cyprus,11 Mar 2010 P
Czech Republic,6 Jun 2006 P
Denmark,28 Jun 2005 P
Dominican Republic,21 Jun 2010 P
Ecuador,10 Mar 2009 P
El Salvador,23 Mar 2006 P
Estonia,18 Dec 2006 P
Finland,23 Mar 2005 P
France,31 Oct 2006 P
Gabon,22 Sep 2010 P
Georgia,22 Dec 2008 P
Germany,3 Mar 2005 P
Guatemala,28 Feb 2008 P
Guinea-Bissau,6 Aug 2008 P
Holy See,13 Dec 2005 P
Honduras,16 Aug 2010 P
Hungary,13 Nov 2006 P
Iceland,22 Aug 2008 P
India,18 May 2005 P
Ireland,8 Nov 2006 P
Italy,11 Feb 2010 P
Jamaica,25 Sep 2008 P
Lao People's Democratic Republic,2 Feb 2012 P
Latvia,16 Sep 2009 P
Liberia,16 Sep 2005 P
Liechtenstein,12 May 2006 P
Lithuania,29 Sep 2004 P
Luxembourg,13 Jun 2005 P
Madagascar,14 Mar 2008 P
Mali,24 Apr 2009 P
Malta,22 Sep 2006 P
Netherlands,18 Jul 2005 P
New Zealand,2 Oct 2007 P
Nicaragua,15 Sep 2005 P
Norway,8 Dec 2005 P
Pakistan,3 Feb 2009 P
Panama,29 Nov 2010 P
Paraguay,3 Dec 2008 P
Peru,29 May 2009 P
Poland,26 Sep 2011 P
Portugal,22 Feb 2008 P
Qatar,16 Nov 2009 P
Republic of Korea,23 Jan 2008 P
Republic of Moldova,21 Apr 2008 P
Romania,29 Jan 2008 P
Russian Federation,21 Jul 2008 P
Saudi Arabia,8 Jan 2010 P
Senegal,6 Nov 2008 P
Sierra Leone,30 Sep 2004 P
Slovakia,23 Mar 2006 P
Slovenia,22 Feb 2007 P
South Africa,24 Jan 2012 P
Spain,9 Feb 2007 P
St. Vincent and the Grenadines,6 Dec 2010 P
Sweden,2 Jun 2004 P
Switzerland,12 May 2006 P
Tajikistan,18 May 2006 P
The former Yugoslav Republic of Macedonia,19 Mar 2007 P
Tunisia,7 Mar 2008 P
Turkmenistan,23 Jul 2012 P
Ukraine,17 May 2005 P
United Arab Emirates,26 Feb 2009 P
United States of America,21 Jan 2009 P
Uruguay,7 Aug 2007 P
