Participant,Signature,"Ratification, Acceptance(A), Approval(AA), Accession(a)"
Austria,19 Nov 1991,23 Aug 1994
Belgium,19 Nov 1991,8 Nov 2000
Bulgaria,19 Nov 1991,27 Feb 1998
Canada,19 Nov 1991,
Croatia,,3 Mar 2008 a
Czech Republic,,1 Jul 1997 a
Denmark,19 Nov 1991,21 May 1996 A
Estonia,,7 Mar 2000 a
European Union,2 Apr 1992,
Finland,19 Nov 1991,11 Jan 1994 A
France,19 Nov 1991,12 Jun 1997 AA
Germany,19 Nov 1991,8 Dec 1994
Greece,19 Nov 1991,
Hungary,19 Nov 1991,10 Nov 1995
Italy,19 Nov 1991,30 Jun 1995
Liechtenstein,19 Nov 1991,24 Mar 1994
Lithuania,,22 May 2007 a
Luxembourg,19 Nov 1991,11 Nov 1993
Monaco,,26 Jul 2001 a
Netherlands,19 Nov 1991,29 Sep 1993 A
Norway,19 Nov 1991,7 Jan 1993
Portugal,2 Apr 1992,
Slovakia,,15 Dec 1999 a
Spain,19 Nov 1991,1 Feb 1994
Sweden,19 Nov 1991,8 Jan 1993
Switzerland,19 Nov 1991,21 Mar 1994
The former Yugoslav Republic of Macedonia,,10 Mar 2010 a
Ukraine,19 Nov 1991,
United Kingdom of Great Britain and Northern Ireland,19 Nov 1991,14 Jun 1994
United States of America,19 Nov 1991,
